Product ID,Variety Name,Country,Shape of tuber,Colour of skin,Colour of flesh,Depth of eyes,Smoothness of skin,Colour of base of lightsprout,Maturity,Height of plants,Frequency of berries
152,Kifli,UNITED KINGDOM,Long,White,Cream,Medium,-,Pink,Late,Medium - tall,-
153,Kikko,IRELAND,Oval - long,White,Light yellow,Shallow,Smooth,Pink,Maincrop,Medium - tall,Medium
154,King Edward,-,Oval - long,Red parti-coloured,Cream,Shallow - medium,Smooth,Pink,Intermediate to late,Tall,Absent
155,Kingsman,UNITED KINGDOM,Short - oval,White,Medium yellow,Very shallow - shallow,-,Pink,Early Maincrop,Medium,-
156,Kondor,NETHERLANDS,Oval - long,Red,Light yellow,Shallow - medium,Medium,Pink,Early to intermediate,Medium,Few
157,La Strada,UNITED KINGDOM,Oval,White,White,Very shallow,-,Absent,Early Maincrop,Short - medium,-
158,Lady Amarilla,NETHERLANDS,Oval - long,Yellow,Medium yellow,Shallow,Smooth,-,Early Maincrop,Medium,-
159,Lady Anna,NETHERLANDS,Oval - long,Cream,Medium yellow,Shallow,Smooth,-,Maincrop,Medium,-
160,Lady Balfour,UNITED KINGDOM,Oval,Red parti-coloured,White,Medium,Medium,Pink,Very late,Very tall,Absent
161,Lady Christl,NETHERLANDS,Oval - long,Cream,Light yellow,Shallow,Smooth,Pink,Very early to early,Medium,Absent
162,Lady Claire,NETHERLANDS,Oval,Cream,Light yellow,Shallow - medium,Smooth,Blue,Early,Medium,Absent
163,Lady Jo,NETHERLANDS,-,-,-,-,-,Blue,Maincrop,Medium - tall,Absent
164,Lady Olympia,NETHERLANDS,Oval - long,Cream,Medium yellow,Shallow,Medium,Blue,Early,Short - medium,Absent
165,Lady Rosetta,NETHERLANDS,Round,Red,Light yellow,Shallow - medium,Medium,Pink,Early to intermediate,Medium,Absent
166,Lady Valora,NETHERLANDS,Oval,White,Light yellow,Shallow - medium,-,-,Maincrop,Medium,-
167,Lanorma,-,Short - oval,White,Light yellow,-,-,-,Early Maincrop,Medium - tall,Few
168,Leonata,NETHERLANDS,Long,Cream,Cream,Shallow,Medium,-,Maincrop,Medium,Few
169,Libertie,-,-,White,White,Shallow,-,Pink,Early Maincrop,-,-
170,Linton,UNITED STATES,Short - oval,White,Cream,Shallow - medium,-,Pink,Intermediate,Medium,-
171,Lionheart,UNITED KINGDOM,Long,White,Light yellow,Shallow - medium,-,Pink,Intermediate,Tall,Absent
172,Lorimer,UNITED KINGDOM,Short - oval,White,Cream,Shallow,-,Blue,-,Short - medium,-
173,Lulu,UNITED KINGDOM,Round,Red parti-coloured,White,Shallow,Smooth,Pink,Early,Short,Absent
174,Madingley,UNITED STATES,Round,Yellow,Deep yellow,Medium,-,Pink,Early,Medium,Absent
175,Majestic,-,Oval - long,White,Cream,Shallow - medium,Smooth,Pink,Intermediate to late,Medium,Few
176,Malin,IRELAND,Oval - long,Red parti-coloured,Light yellow,Shallow,Smooth,Pink,Intermediate,Short - medium,Medium
177,Malou,FRANCE,Short - oval,Yellow,Light yellow,Shallow,Smooth,-,Early Maincrop,-,-
178,Manhattan,UNITED KINGDOM,Short - oval,White,Light yellow,Shallow,-,Pink,Early Maincrop,Medium,-
179,Manitou,-,Oval - long,Red,Light yellow,Very shallow - shallow,-,-,Maincrop,-,-
180,Marfona,NETHERLANDS,Short - oval,Cream,Light yellow,Shallow - medium,Medium,Pink,Early to intermediate,Medium,Absent
181,Maris Bard,UNITED KINGDOM,Oval - long,Cream,White,Shallow - medium,Smooth,Pink,Early,Medium,Many
182,Maris Peer,UNITED KINGDOM,Oval,Cream,Cream,Shallow - medium,Smooth,Pink,Early,Medium,Few
183,Maris Piper,UNITED KINGDOM,Oval,Cream,Cream,Very shallow - shallow,Medium,Pink,Late,Tall,Many
184,Maritiema,NETHERLANDS,Short - oval,White,Cream,Very shallow - shallow,-,Blue,Early to intermediate,Tall,Absent
185,Markies,-,Oval,Cream,Light yellow,Shallow - medium,Medium,Blue,Late,Tall - very tall,Absent
186,Marvel,-,Oval - long,Yellow,Light yellow,Shallow - medium,-,Blue,Early to intermediate,Medium - tall,Few
187,Maxine,UNITED KINGDOM,Short - oval,Red,White,Very shallow - shallow,Smooth,Pink,Intermediate,Medium,Absent
188,Mayan Gold,UNITED KINGDOM,Very long,Blue parti-coloured,Medium yellow,Medium,Smooth,Blue,Very late,Tall - very tall,Very many
189,Mayan Queen,UNITED KINGDOM,Oval - long,Red parti-coloured,Deep yellow,Deep,-,Violet,Very late,Short,-
190,Mayan Rose,-,Oval - long,Red parti-coloured,Parti-coloured red,Shallow,-,Pink,Maincrop,-,-
191,Mayan Star,UNITED KINGDOM,Oval - long,Red,Parti-coloured red,Medium,-,Violet,Late,Medium,-
192,Mayan Twilight,UNITED KINGDOM,Oval - long,Red parti-coloured,Parti-coloured red,Shallow - medium,-,Violet,Late,Medium - tall,-
193,Melody,NETHERLANDS,Oval,Yellow,Medium yellow,Shallow,Smooth,Violet,Maincrop,Medium,Few
194,Merlin,UNITED KINGDOM,Short - oval,Red parti-coloured,Cream,Medium,Medium,Pink,Intermediate to late,Tall,Absent
195,Milton,UNITED STATES,Short - oval,White,Light yellow,Shallow,-,Pink,Early,Short - medium,-
196,Mimi,UNITED KINGDOM,Round,Red,Light yellow,Shallow - medium,Smooth,Pink,Very early,Very short,Absent
197,Mistay,UNITED KINGDOM,Short - oval,White,Cream,Shallow - medium,-,Blue,Early to intermediate,Medium,Medium
198,Morene,-,Oval,Cream,Cream,Shallow,Smooth,Pink,Late,Medium,Very many
199,Moulin Rouge,UNITED KINGDOM,Very long,Red,Medium yellow,Medium - deep,Smooth,Pink,Early Maincrop,Very short,Absent
200,Mozart,UNITED KINGDOM,-,Red,-,-,Smooth,Pink,Early Maincrop,Medium,-
201,Mustang,-,Oval,Red,Cream,-,-,-,Early Maincrop,Medium,Many
202,Nadine,UNITED KINGDOM,Oval,Cream,Cream,Shallow,Smooth,Pink,Early,Short - medium,Absent
203,Navan,UNITED KINGDOM,Oval,White,Cream,Shallow,Medium,Violet,Early,Medium - tall,Medium
204,Nectar,IRELAND,Oval - long,Red parti-coloured,Light yellow,Shallow,Smooth,Pink,Early Maincrop,Medium,Few
205,Newton,UNITED STATES,Oval - long,White,Cream,Shallow,-,Pink,Early,Short - medium,-
206,Nicola,-,Oval - long,Cream,Medium yellow,Very shallow - shallow,Smooth,Pink,Intermediate,Medium,Absent
207,Nieta,UNITED KINGDOM,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Early to intermediate,Medium,Few
208,Nitza,-,Oval,White,White,Shallow,-,Pink,Early to intermediate,Medium,Absent
209,Olympus,UNITED KINGDOM,Round,White,Cream,Shallow - medium,Medium,Blue,Intermediate,Medium,Many
210,Orchestra,NETHERLANDS,Oval,White,Light yellow,-,-,-,Maincrop,Short - medium,Very many
211,Orla,IRELAND,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Early Maincrop,Medium - tall,Few
212,Orwell,UNITED STATES,Short - oval,Yellow,Light yellow,Very shallow - shallow,-,Blue,Early to intermediate,Short - medium,Absent
213,Osprey,UNITED KINGDOM,Short - oval,Red parti-coloured,Cream,Medium,Medium,Pink,Early,Tall,Absent
214,Panther,-,Oval - long,Yellow,Light yellow,-,-,-,Late,-,-
215,Paramount,IRELAND,Short - oval,Red,White,Shallow,Smooth,Pink,Intermediate,Medium,Medium
216,Paru,UNITED KINGDOM,Long,Red parti-coloured,Deep yellow,Shallow - medium,-,Absent,Late,Medium,-
217,Pentland Crown,UNITED KINGDOM,Oval - long,Cream,Cream,Shallow,Medium,Pink,Intermediate to late,Medium,Absent
218,Pentland Dell,UNITED KINGDOM,Oval - long,Cream,Cream,Shallow,Smooth,Pink,Intermediate to late,Medium,Many
219,Pentland Ivory,UNITED KINGDOM,Oval - long,White,Cream,Shallow,Smooth,Pink,Intermediate,Medium - tall,Medium
220,Pentland Javelin,UNITED KINGDOM,Short - oval,Cream,Cream,Very shallow - shallow,Smooth,Pink,Very early,Medium,Absent
221,Pentland Squire,UNITED KINGDOM,Oval,White,Cream,Medium,Smooth,Pink,Intermediate,Medium - tall,Few
222,Performer,AUSTRIA,Oval - long,Russet,Light yellow,Very shallow - shallow,Rough,-,Maincrop,Very tall,-
223,Picasso,-,Oval,Red parti-coloured,Light yellow,Shallow - medium,Medium,Pink,Early to intermediate,Tall,Absent
224,Piccolo Star,UNITED KINGDOM,-,-,-,-,-,-,Second Early,Short - medium,Few
225,Pink Fir Apple,-,Very long,Red,Light yellow,Deep,-,Pink,Very late,-,Absent
226,Pink Gypsy,UNITED KINGDOM,Oval - long,Red parti-coloured,White,Very shallow - shallow,-,Pink,Intermediate,Short,-
227,Pioneer,UNITED KINGDOM,Oval - long,Yellow,Medium yellow,Shallow,-,Pink,Early,Short,-
228,Pippa,UNITED KINGDOM,Oval - long,Red parti-coloured,Medium yellow,Medium,Medium,Pink,Late,Medium,Medium
229,Pixie,UNITED KINGDOM,Short - oval,Red parti-coloured,White,Shallow - medium,Smooth,Pink,Intermediate,Tall,Medium
230,Pizazz,UNITED KINGDOM,Oval,Red parti-coloured,Light yellow,Medium,-,Violet,Second Early,Short - medium,-
231,Premiere,-,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Very early to early,Medium,Absent
232,Primura,-,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Very early to early,-,Absent
233,Purple Majesty,-,Oval,Blue,-,Shallow,-,Blue,Early to intermediate,Medium,Few
234,Radebe,UNITED KINGDOM,Short - oval,White,Cream,Shallow,-,Pink,Maincrop,Tall,-
235,Raleigh,UNITED KINGDOM,Oval,White,Cream,Shallow,-,Pink,Second Early,-,-
236,Ramos,NETHERLANDS,Oval - long,Yellow,Light yellow,Shallow,Smooth,-,Early Maincrop,Medium - tall,Medium
237,Ranger Russet,UNITED STATES,Oval - long,Cream,Cream,Shallow,Rough,Pink,Late,-,Absent
238,Record,-,Oval,Cream,Light yellow,Medium,Rough,Blue,Early to intermediate,Medium,-
239,Red Cara,IRELAND,Oval,Red,Cream,Shallow,Medium,Pink,Intermediate to late,Very tall,Many
240,Red Duke Of York,-,Oval,Red,Light yellow,Very shallow - shallow,Medium,Pink,First Early,Short,Absent
241,Red Emmalie,GERMANY,Long,Red,-,Shallow,-,Pink,Early to intermediate,Medium - tall,Many
242,Red Pontiac,-,Short - oval,Red,Cream,Medium,Smooth,Pink,Early,Medium,Absent
243,Red Robin,UNITED KINGDOM,Oval,Red,Medium yellow,Very shallow - shallow,-,Pink,Early,Short - medium,-
244,Reiver,-,Short - oval,White,Light yellow,Shallow,-,Pink,Early Maincrop,-,-
245,Remarka,-,Oval,Cream,Light yellow,Shallow,Smooth,Pink,Intermediate,Medium,Few
246,Rembrandt,UNITED KINGDOM,Oval - long,Yellow,Medium yellow,Shallow - medium,Medium,Violet,Maincrop,Medium - tall,Few
247,Revie,UNITED KINGDOM,Short - oval,Red parti-coloured,White,Shallow,-,Absent,Early Maincrop,Short,-
248,Richhill,UNITED KINGDOM,Short - oval,White,Light yellow,Very shallow - shallow,-,Pink,Late,Medium - tall,-
249,Robinta,UNITED KINGDOM,Oval,Red,Cream,Shallow,Smooth,Pink,Intermediate,Medium,Few
250,Rock,NETHERLANDS,Oval,Yellow,Light yellow,Shallow,Smooth,-,Maincrop,Medium,-
251,Rocket,UNITED KINGDOM,Round,White,White,Shallow,Smooth,Blue,Very early,Short - medium,Few
252,Romano,-,Short - oval,Red,Cream,Shallow - medium,Smooth,Pink,Early,Medium,Absent
253,Rooster,IRELAND,Oval,Red,Medium yellow,Shallow,Medium,Violet,Late,Medium - tall,Few
254,Roscor,UNITED KINGDOM,Oval,Cream,Cream,Shallow,Smooth,Pink,Very early,Short,Absent
255,Roseval,-,Oval - long,Red,Medium yellow,Very shallow - shallow,Smooth,Pink,Intermediate to late,Tall - very tall,Absent
256,Royal,-,Oval,Yellow,Light yellow,-,-,-,Early Maincrop,-,-
